Filtering the log data using "subsystem == "com.apple.hid" OR (process == "kernel" AND composedMessage CONTAINS "Apple")"
Timestamp                       Thread     Type        Activity             PID    TTL
2026-03-30 01:33:13.115182-0600 0x14bebda  Default     0x0                  0      0    kernel: (IOUSBHostFamily) AppleUSB20HubPort@02140000: AppleUSBHostPort::enumerateDeviceComplete_block_invoke: enumerated 0x05ac/0265/0871 (Magic Trackpad / 4) at 12 Mbps
2026-03-30 01:33:13.121798-0600 0x14bcb20  Error       0x0                  0      0    kernel: (IOUSBHostFamily) AppleUSBIORequest: AppleUSBIORequest::complete: device 4 (Magic Trackpad@02140000) endpoint 0x00: status 0xe0005000 (pipe stalled): 0 bytes transferred
2026-03-30 01:33:13.121852-0600 0x14bebda  Error       0x0                  0      0    kernel: (AppleUSBHostCompositeDevice) AppleUSBHostCompositeDevice: AppleUSBHostCompositeDevice::negotiatePower: Magic Trackpad@02140000: failed current limit vendor request with 0xe0005000
2026-03-30 01:33:13.123564-0600 0x14bd5b5  Default     0x0                  0      0    kernel: (IOUSBHostFamily) Magic Trackpad@02140000: IOUSBHostDevice::setConfigurationGated: AppleUSBHostCompositeDevice selected configuration 1
2026-03-30 01:33:13.131011-0600 0x14bec3a  Info        0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d1 start
2026-03-30 01:33:13.131010-0600 0x14bec39  Info        0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d2 start
2026-03-30 01:33:13.131121-0600 0x14bec38  Info        0x0                  0      0    kernel: (IOHIDFamily) AppleUSBTopCaseHIDDriver:0x1009031d7 start
2026-03-30 01:33:13.134163-0600 0x14bec39  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d2</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BQEJAqEBCQGhAAUJGQEpAxUAJQGFApUDdQGBApUBdQWBAQUBCTAJMRWBJX91CJUCgQaVBHUIgQHAwAUNCQWhAQYA/wkMFQAm/wB1CJUQhT+BIsAGAP8JDKEBBgD/CQwVACb/AIVEdQiWawWBAMA=</data></dict>
2026-03-30 01:33:13.134416-0600 0x14bec39  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d2</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BQEJAqEBCQGhAAUJGQEpAxUAJQGFApUDdQGBApUBdQWBAQUBCTAJMRWBJX91CJUCgQaVBHUIgQHAwAUNCQWhAQYA/wkMFQAm/wB1CJUQhT+BIsAGAP8JDKEBBgD/CQwVACb/AIVEdQiWawWBAMA=</data></dict>
2026-03-30 01:33:13.134546-0600 0x14bec39  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d2</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BQEJAqEBCQGhAAUJGQEpAxUAJQGFApUDdQGBApUBdQWBAQUBCTAJMRWBJX91CJUCgQaVBHUIgQHAwAUNCQWhAQYA/wkMFQAm/wB1CJUQhT+BIsAGAP8JDKEBBgD/CQwVACb/AIVEdQiWawWBAMA=</data></dict>
2026-03-30 01:33:13.140039-0600 0x14bec3a  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d1</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BgD/CQGhAQkBFQAm/wB1CJVAgQIJARUAJv8AdQiVQJECwA==</data></dict>
2026-03-30 01:33:13.140139-0600 0x14bec3a  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031d1</integer><key>IOName</key><string ID="2">AppleUSBTopCaseHIDDriver</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="16" ID="4">0x5ac</integer><key>ProductID</key><integer size="16" ID="5">0x265</integer><key>VersionNumber</key><integer size="16" ID="6">0x871</integer><key>Manufacturer</key><string ID="7">Apple Inc.</string><key>Product</key><string ID="8">Magic Trackpad</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="8" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">BT2USB0000000001</string><key>ReportDescriptor</key><data ID="12">BgD/CQGhAQkBFQAm/wB1CJVAgQIJARUAJv8AdQiVQJECwA==</data></dict>
